Order Date,Product Name,Total Owed
2024-12-23T02:20:50Z,"TAURI for iPhone 15 Case, Compatible with Magsafe [Yellowing Resistant] with 2X Screen Protector + 2X Camera Lens Protector, Military-Grade Protection, Slim Magnetic Phone Case, Clear",15.21
2024-12-19T07:55:01Z,E-Z Ink Compatible Toner Cartridge Replacement for Brother TN660 TN-660 TN630 High Yield to use with HL-L2300D HL-L2380DW HL-L2320D DCP-L2540DW HL-L2340DW HL-L2360DW MFC-L2720DW Printer (3 Black),28.26
2024-12-17T05:06:39Z,"Nacome Solar Garden Outdoor Statues Turtle with Succulent and 7 LED Lights - Lawn Decor Tortoise Statue for Patio, Balcony, Yard Ornament - Unique Housewarming Gifts",29.91
2024-12-15T06:26:12Z,"GE RG6 Coaxial Cable, 50 ft. F-Type Connectors, Quad Shielded Coax Cable, 3 GHz Digital, In-Wall Rated, Ideal for TV Antenna, DVR, VCR, Satellite, Cable Box, Home Theater, Black, 33532",16.75
2024-12-08T00:43:52Z,"Soundcore P40i by Anker, Noise Cancelling Wireless Earbuds, Adaptive Noise Cancelling to Environments, Heavy Bass, 60H Playtime, 2-in-1 Case and Phone Stand, IPX5, Wireless Charging, Bluetooth 5.3",45.66
2024-12-03T21:11:26Z,KSIPZE 100ft Led Strip Lights RGB Music Sync Color Changing Bluetooth Smart App Control Remote Led Lights for Bedroom Room Lighting Home Décor,10.77
2024-12-03T21:11:26Z,"Fikwot FN501 Pro 1TB NVMe SSD - M.2 2280 PCIe Gen3 x4 Internal Solid State Drive with Graphene Cooling Sticker, Up to 3,500MB/s, SLC Cache 3D NAND TLC, Compatible with Laptop & PC Desktop",61.98
2024-12-03T21:11:26Z,"SanDisk 128GB Ultra SDXC UHS-I Memory Card - Up to 140MB/s, C10, U1, Full HD, SD Card - SDSDUNB-128G-GN6IN",17.17
2024-12-03T21:09:54Z,"LEGO Icons Plum Blossom Building Set for Adults Ages 18+ - Artificial Flowers for Dinner Table Centerpieces & Christmas Decorations - Gift Idea for Mom, Dad, & Significant Other - 10369",26.09
2024-11-30T06:32:54Z,Swarovski Attract Square Stud Pierced Earrings with Clear Crystals on a Rhodium Plated Setting with Butterfly Back Closure,46.18
2024-11-20T09:12:31Z,"COSRX Acne Pimple Patch Absorbing Hydrocolloid Original 3 Size Patches for Blemishes and Zits Cover, Spot Stickers for Face and Body, Not Tested on Animals (72)",13.69
2024-11-12T00:09:48Z,Dwenarry Black Sunglasses Bulk Party Sunglasses Retro Plastic Adult Black Shades Party Favor 12 Pack,10.94
2024-11-11T09:26:05Z,"LANEIGE Water Bank Hydration Set: Hyaluronic Acid, Barrier-Boosting Hydration, Full Sized, Travel Sized",47.09
2024-11-10T10:06:05Z,MILACOLATO G23 Titanium Hoop Earrings Implant Grade Hypollergenic Small Huggie Hoop Earrings Hinged Sleeper Cartilage Earrings for Women Men Silver 12mm,10.94
2024-11-05T23:38:19Z,"Champion Men's Double Dry Moisture Wicking Socks 6, 8, 12 Packs Availabe, Black Crew C-6 Pack, 6-12",13.14
2024-10-31T06:01:21Z,DLGJPA Men's Lightweight Quick Drying Water Shoes for Beach or Water Sports Slip On Walking Shoes AllBlack 8,32.84
2024-10-30T00:31:28Z,"ThermoFlask 24 oz Double Wall Vacuum Insulated Stainless Steel 2-Pack of Water Bottles, White/Coral",32.38
2024-10-30T00:31:28Z,DLGJPA Men's Lightweight Quick Drying Aqua Water Shoes Athletic Sport Walking Shoes,32.84
2024-10-24T07:52:49Z,Pokemon Mens Onesie Pikachu Yellow Medium,50.36
2024-10-09T20:32:27Z,"Lysol Disinfecting Wipes Bundle, Home Apartment Dorm Room Essentials and Cleaning Supplies, All Purpose Cleaner, Multi-surface Cleaning Wipes, Multi-Scent Sanitizing Wipes Bundle, 80 Count (4pk)",13.93
2024-09-26T04:17:29Z,Tobira I: Beginning Japanese (Tobira Beginning Japanese) (Japanese Edition),41.61
2024-09-25T03:27:39Z,"Onsen Cuticle Cream w/Nail Cuticle Oil | Cuticle Softener with Japanese Natural Healing Minerals | Nail Care Serum to Soothe, Repair & Strengthen Cuticles and Nails | Visible Results (1 Count/15 ml)",10.94
2024-09-22T05:16:01Z,DIFFLIFE 40-Piece Tool Set - General Household Hand Tool Kit with Plastic Toolbox Storage Case...,17.51
2024-09-17T05:43:05Z,"Tenmiro Led Lights for Bedroom 100ft (2 Rolls of 50ft) Music Sync Color Changing Strip Lights with Remote and App Control RGB Strip, for Room Home Party Decoration",13.13
2024-07-30T23:36:28Z,"LANEIGE Water Bank Hydration Set: Hyaluronic Acid, Barrier-Boosting Hydration, Full Sized, Travel Sized",46.76
2024-07-29T06:37:22Z,"FitsT4 Sports Half Finger Padded Palm Gloves for Diving, Sailing, Jet Skiing, Stand-UP Boarding, Kayaking and Water Skiing, Suitable for Men&Women&Youth",21.74
2024-07-29T06:37:22Z,"ATERCEL Weight Lifting Gloves Full Palm Protection, Workout Gloves for Gym, Cycling, Exercise, Breathable, Super Lightweight for Men and Women(Aqua, S)",11.95
2024-06-03T23:53:16Z,Ghibli Best Stories: Original Edition,22.39
2024-05-23T01:50:20Z,"Ferrero Rocher, 42 Count, Premium Milk Chocolate Hazelnut, Chocolates for Gifting, 18.5 oz",22.89
2024-04-30T05:53:38Z,"Sllaiss 2mm Sterling Silver Austria Zirconia Stud Earrings for Women Men, Platinum/Gold/Rose Gold Plated Tiny CZ Studs",16.41
2024-04-16T01:40:31Z,"Ferrero Rocher, 42 Count, Premium Gourmet Milk Chocolate Hazelnut, Individually Wrapped Candy for Gifting, Mother's Day Gift, 18.5 oz",29.9
2024-04-09T06:10:43Z,Water Bank Blue Hyaluronic Hydration Set,47.09
2024-04-08T21:29:44Z,"Thermoflask 24oz Stainless Steel Insulated Water Bottles with Straw and Spout Lids, 2-pack, Black/Malachite",26.27
2024-04-05T03:04:24Z,"Pesonlook 6Pack 60 x 102 Inch Tablecloth, Black Polyester Tablecloths for 6ft Rectangle Tables Polyester Table Cover Washable Table Cloth for Wedding Reception Banquet Party",36.12
2024-04-04T03:07:40Z,"100 Pieces Lanyards for ID Badges and 100 Pieces Id Holder Badges Name Tags, Flat Neck Lanyards with Clip Waterproof Clear Plastic Resealable Vertical Name Tag Badge ID Card Holders (Dark Blue)",103.45
2024-03-28T18:08:57Z,Custom 13oz Vinyl Banner by DOT4DOT - Personalized customizable full color design banners signs printing for indoor outdoor events retail birthday (2x8),55.82
2024-03-17T03:26:04Z,"The INKEY List Omega Water Cream Moisturizer, 1.69 fl oz",13.14
2024-03-11T06:59:51Z,"Ferrero Rocher, 42 Count, Premium Gourmet Milk Chocolate Hazelnut, Individually Wrapped Candy for Gifting, Great Easter Gift, 18.5 oz",15.7
2024-02-26T05:34:30Z,"Personalized Customized with Logo Table Cloth 4FT 6 FT 8 FT Table for Tradeshow Events Birthday Wedding Anniversary Tradeshow Mantel Personalizado (Rectangle 6FT30 x 72"" x 30"" No Pleats no Back)",82.11
2024-02-04T08:06:43Z,"Ferrero Rocher, 24 Count, Premium Milk Chocolate Hazelnut, Valentine's Chocolate Gift Box, 10.6 oz",21.94
2024-01-09T19:57:58Z,"34 Pcs (Picking) Duty Pad Locks Lock of 1-9/16""(40mm) Wide Body Stainless Kits with Same Key 2-inch Long Shackle Padlocks Keyed Alike Set of 3 Lock Key",29.55
2024-01-02T10:31:09Z,"LANEIGE Water Bank Blue Hyaluronic Cream Moisturizer: Hydrate and Nourish, 1.6 fl. oz.",36.98
2023-12-12T23:08:34Z,"Ferrero Collection, 24 Count, Premium Gourmet Assorted Hazelnut Milk Chocolate, Dark Chocolate And Coconut Chocolates, Luxury Chocolate Holiday Gift Box",43.92
2023-12-12T23:04:36Z,"Ferrero Rocher, 42 Count, Premium Gourmet Milk Chocolate Hazelnut Holiday Gift Box, 18.5 Oz",20.49
2023-11-25T10:55:11Z,NSFW by Exploding Kittens - Card Games for Adults & Teens - A Russian Roulette Card Game (Package May Vary),10.86
2023-11-25T10:55:11Z,"Anime Customized Large Extended Gaming Mouse Pad with Stitched Edges and Non-Slip Rubber Base,Suitable for Office and Home Use,31.5x11.8x0.12 Inches",14.78
2023-11-25T10:55:11Z,"BONAOK Wireless Bluetooth Karaoke Microphone, 3-in-1 Portable Handheld Mic Speaker for All Smartphones,Gifts for Girls Kids Adults All Age Q37(Rose Gold)",21.74
2023-11-25T10:42:18Z,"RGB Anime Gaming Mouse Pad,Cute Moon Cat Extended Large Soft Anime Mouse Pad with 14 Lighting Modes,Waterproof Computer Keyboard Mat 31.5×11.8 inches (Cat A)",19.17
2023-11-25T10:42:18Z,Apple AirTag 4 Pack,87.59
2023-11-25T10:42:18Z,"Ferrero Rocher Premium Chocolate Bars, White Chocolate Hazelnut, Luxury Chocolate, Individually Wrapped, 3.1 Oz. (Pack of 8)",18.84
