DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
7MBEQ9FD5JUBVH720OI0CKRBHA5NU48B9MK2SRNPEGU68K6MI0BG,BBH4J99GU19USUOD6AR5P0U94S4V74HQ1NUMVN4UIG14CUV8J8UG,1,6.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
7MBEQ9FD5JUBVH720OI0CKRBHA5NU48B9MK2SRNPEGU68K6MI0BG,BBH4J99GU19USUOD6AR5P0U94S4V74HQ1NUMVN4UIG14CUV8J8UG,1,0.61,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
T7NVS4M61HJD28JO1RNERHASNUE20OL6B0UO5ABBG7EOE4N192B0,AKV9SDI7LI04THO0LKLD9KNKOTLGLE46PJM3VUOUR2GPVCH4CLGG,1,0.61,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
T7NVS4M61HJD28JO1RNERHASNUE20OL6B0UO5ABBG7EOE4N192B0,AKV9SDI7LI04THO0LKLD9KNKOTLGLE46PJM3VUOUR2GPVCH4CLGG,1,6.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
K0JF6VH4M1C8CAGR93P3C81OIVRO8QRI96SI232Q2VFBPAIC6N9G,B2EJEI3N7P2H7TTGL9GL45RNO4DHGQC18LAV8D2QNMHEJVF5LKU0,1,6.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
K0JF6VH4M1C8CAGR93P3C81OIVRO8QRI96SI232Q2VFBPAIC6N9G,B2EJEI3N7P2H7TTGL9GL45RNO4DHGQC18LAV8D2QNMHEJVF5LKU0,1,0.61,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
066ICH2IVPB9A033V25F1NDIH9CDPDRPLI997BBDJ5FO8JEFCBK0,QQ9ICQJUEALDP9C6GTA07GT32AS65KF857QJ9JDJH1RMJ2CTLLQ0,1,0.61,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
066ICH2IVPB9A033V25F1NDIH9CDPDRPLI997BBDJ5FO8JEFCBK0,QQ9ICQJUEALDP9C6GTA07GT32AS65KF857QJ9JDJH1RMJ2CTLLQ0,1,6.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
9IEJQ1PVDR9VIP6FV6OOTI8JCGQKOMHQ36M32CAH9EKLNN95R36G,VDDP19U45939E87KO1SA66NODS7H43F1E3OD16E4676J6IS1H8FG,1,0.61,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
9IEJQ1PVDR9VIP6FV6OOTI8JCGQKOMHQ36M32CAH9EKLNN95R36G,VDDP19U45939E87KO1SA66NODS7H43F1E3OD16E4676J6IS1H8FG,1,6.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
KLMLCSTQ7DCNVEV71VC96CFQEB3NDOP3IKA8BLGNJUDUHBNLM3R0,G23UPGCMDTTUOJAAFJPIE2FIO6RTFK66KJMSJGJCGDV9NFGM6IUG,1,69.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
KLMLCSTQ7DCNVEV71VC96CFQEB3NDOP3IKA8BLGNJUDUHBNLM3R0,G23UPGCMDTTUOJAAFJPIE2FIO6RTFK66KJMSJGJCGDV9NFGM6IUG,1,6.04,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
BQO6V14FRFG5EDK8HSI55V1QF6KTHRQB455OUQ6D1N109EOB85VG,S9N63V46F2EN3DTU0CUS4220GNJAFF3H92AMH2UBBT9BER9A8VS0,1,0.66,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
BQO6V14FRFG5EDK8HSI55V1QF6KTHRQB455OUQ6D1N109EOB85VG,S9N63V46F2EN3DTU0CUS4220GNJAFF3H92AMH2UBBT9BER9A8VS0,1,7.49,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
VK6U6I9JFFCTDLBM14RM89EBFEEL7VH1GHN2072ASFT2Q4TEHV00,K8JDE72K27QAEIV7RJ2H55JQ4JCUB8QMGLJ8LEV5QTBK48QFF56G,1,7.49,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
VK6U6I9JFFCTDLBM14RM89EBFEEL7VH1GHN2072ASFT2Q4TEHV00,K8JDE72K27QAEIV7RJ2H55JQ4JCUB8QMGLJ8LEV5QTBK48QFF56G,1,0.66,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
1GVOOAQA6IOHFSF85E11RHDCAB0ENL6OHG5PV1UIILBU2HT099HG,G6GGIDFBOI9PGQJDFCCQUH8D1H1E53DE4F7EBK8B90JIAIBU1JGG,1,0.66,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
1GVOOAQA6IOHFSF85E11RHDCAB0ENL6OHG5PV1UIILBU2HT099HG,G6GGIDFBOI9PGQJDFCCQUH8D1H1E53DE4F7EBK8B90JIAIBU1JGG,1,7.49,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
83EQIQ3GBN7L4EAPKV919F77EMR9KHOMD1J91BT3U440UPCSS2O0,3L5VN3E7PACCDR9KPCH0IEDCNRN3UVH5MVTT7GFUATG93DTN8OQ0,1,0.66,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
83EQIQ3GBN7L4EAPKV919F77EMR9KHOMD1J91BT3U440UPCSS2O0,3L5VN3E7PACCDR9KPCH0IEDCNRN3UVH5MVTT7GFUATG93DTN8OQ0,1,7.49,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
GPDUTRSATRV2ESNK06THE3BMLERC6NQ5J6VLPDU4U8E22BHG20NG,73FI8BCHPLNJRPPL2885VJ8151CAE318F39M7PBQ3EPVHAMTDVM0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
GPDUTRSATRV2ESNK06THE3BMLERC6NQ5J6VLPDU4U8E22BHG20NG,73FI8BCHPLNJRPPL2885VJ8151CAE318F39M7PBQ3EPVHAMTDVM0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable