OrderId,PaymentCode,PaymentInformation,IsActive,PaymentAmount,BaseCurrencyCode,ForeignExchangeRate,ForeignExchangeCurrencyCode,AmountPaidFromAmazonAccount
D01-0670922-6896267,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0670922-6896267,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0670922-6896267,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0670922-6896267,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-7562780-8566619,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-7562780-8566619,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-7562780-8566619,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-6896988-2432252,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-6896988-2432252,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-6896988-2432252,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-1721496-4947438,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-1721496-4947438,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-1721496-4947438,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-4560980-6192207,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-4560980-6192207,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-4560980-6192207,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-2723455-4246619,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-2723455-4246619,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0940549-4851434,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0940549-4851434,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3692900-2288233,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3692900-2288233,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-1641301-9993839,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-1641301-9993839,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-1641301-9993839,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-8545834-1910665,Gift Card,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-8545834-1910665,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-8545834-1910665,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-4794131-0560209,Credit Card,Not Available,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable